app,module,component,model_name,description
hr,expense,sheet,hr.expense.sheet,"Expense Report (Here are the rights associated with the expense flow Action Group Restriction   Submit Employee Only his own Officer If he is expense manager of the employee, manager of the employee or the employee is in the department managed by the officer Manager Always Approve Officer Not his own and he is expense manager of the employee, manager of the employee or the employee is in the department managed by the officer Manager Always Post Anybody State   approve and journal_id defined Done Anybody State   approve and journal_id defined Cancel Officer Not his own and he is expense manager of the employee, manager of the employee or the employee is in the department managed by the officer Manager Always  )"
gamification,badge,,gamification.badge,Gamification Badge (Badge object that users can send and receive)
gamification,challenge,,gamification.challenge,"Gamification Challenge (Gamification challenge Set of predifined objectives assigned to people with rules for recurrence and rewards If 'user_ids' is defined and 'period' is different than 'one', the set will be assigned to the users for each period (eg: every 1st of each month if 'monthly' is selected))"
iap,account,,iap.account,IAP Account (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
hr,job,,hr.job,Job Position (A mixin for models that inherits mail.alias to have a one-to-one relation between the model and its alias.)
account,journal,,account.journal,Journal (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,move,,account.move,Journal Entry (Base model to inherit from to add extract functionality to a model.)
knowledge,article,,knowledge.article,Knowledge Article (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
crm,lead,,crm.lead,Lead/Opportunity (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,loan,,account.loan,Loan (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
stock,lot,,stock.lot,Lot/Serial (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
loyalty,card,,loyalty.card,Loyalty Coupon (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
mail,blacklist,,mail.blacklist,Mail Blacklist (Model of blacklisted email addresses to stop sending emails.)
mail,thread,blacklist,mail.thread.blacklist,"Mail Blacklist mixin (Mixin that is inherited by all model with opt out. This mixin stores a normalized email based on primary_email field. A normalized email is considered as : - having a left part + @ + a right part (the domain can be without '.something') - being lower case - having no name before the address. Typically, having no 'Name <>' Ex: - Formatted Email : 'Name <NaMe@DoMaIn.CoM>' - Normalized Email : 'name@domain.com' The primary email field can be specified on the parent model, if it differs from the default one ('email') The email_normalized field can than be used on that model to search quickly on emails (by simple comparison and not using time consuming regex anymore). Using this email_normalized field, blacklist status is computed. Mail Thread capabilities are required for this mixin.)"
mail,thread,main.attachment,mail.thread.main.attachment,Mail Main Attachment management (Mixin that adds main attachment support to the MailThread class.)
mailing,contact,,mailing.contact,"Mailing Contact (Model of a contact. This model is different from the partner model because it holds only some basic information: name, email. The purpose is to be able to deal with large contact list to email without bloating the partner base.)"
mrp,production,,mrp.production,Manufacturing Order (Manufacturing Orders)
card,campaign,,card.campaign,Marketing Card Campaign (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
mailing,mailing,,mailing.mailing,Mass Mailing (Mass Mailing models the sending of emails to a list of recipients for a mass mailing campaign.)
fleet,vehicle,model,fleet.vehicle.model,Model of a vehicle (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
hr,payslip,,hr.payslip,Pay Slip (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,payment,,account.payment,Payments (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
hr,payslip,run,hr.payslip.run,Payslip Batches (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
phone,blacklist,,phone.blacklist,Phone Blacklist (Blacklist of phone numbers. Used to avoid sending unwanted messages to people.)
mail,thread,phone,mail.thread.phone,"Phone Blacklist Mixin (Purpose of this mixin is to offer two services * compute a sanitized phone number based on _phone_get_number_fields. It takes first sanitized value, trying each field returned by the method (see ``BaseModel._phone_get_number_fields()´´ for more details about the usage of this method); * compute blacklist state of records. It is based on phone.blacklist model and give an easy-to-use field and API to manipulate blacklisted records; Main API methods * ``_phone_set_blacklisted``: set recordset as blacklisted; * ``_phone_reset_blacklisted``: reactivate recordset (even if not blacklisted this method can be called safely);)"
pos,order,,pos.order,Point of Sale Orders (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
pos,session,,pos.session,Point of Sale Session (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,reconcile,model,account.reconcile.model,Preset to create journal entries during a invoices and payments matching (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
product,pricelist,,product.pricelist,Pricelist (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
product,template,,product.template,Product (This mixin adds rating statistics to mail.thread that already support ratings.)
product,category,,product.category,Product Category (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
product,product,,product.product,Product Variant (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
project,project,,project.project,Project (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
project,milestone,,project.milestone,Project Milestone (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
project,update,,project.update,Project Update (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
purchase,order,,purchase.order,Purchase Order (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
quality,alert,,quality.alert,Quality Alert (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
quality,alert,team,quality.alert.team,Quality Alert Team (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
quality,check,,quality.check,Quality Check (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
quality,point,,quality.point,Quality Control Point (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
rating,mixin,,rating.mixin,Rating Mixin (This mixin adds rating statistics to mail.thread that already support ratings.)
hr,salary,attachment,hr.salary.attachment,Salary Attachment (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
sale,order,,sale.order,Sales Order (This mixin adds rating statistics to mail.thread that already support ratings.)
crm,team,,crm.team,Sales Team (A mixin for models that inherits mail.alias to have a one-to-one relation between the model and its alias.)
crm,team,member,crm.team.member,Sales Team Member (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
stock,scrap,,stock.scrap,Scrap (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
fleet,vehicle,log.services,fleet.vehicle.log.services,Services for vehicles (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
slide,slide,,slide.slide,Slides (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
social,media,,social.media,Social Media (The Instagram social media implementation is a bit special because it goes through the Facebook API to fetch information (as Facebook owns Instagram). That also means we can only add Instagram accounts through Facebook.)
social,post,,social.post,"Social Post (A social.post represents a post that will be published on multiple social.accounts at once. It doesn't do anything on its own except storing the global post configuration (message, images, ...). This model inherits from `social.post.template` which contains the common part of both (all fields related to the post content like the message, the images...). So we do not duplicate the code by inheriting from it. We can generate a `social.post` from a `social.post.template` with `action_generate_post`. When posted, it actually creates several instances of social.live.posts (one per social.account) that will publish their content through the third party API of the social.account.)"
spreadsheet,cell,thread,spreadsheet.cell.thread,Spreadsheet discussion thread (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
studio,approval,rule,studio.approval.rule,Studio Approval Rule (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
survey,survey,,survey.survey,Survey (This model defines additional actions on the 'survey.survey' model that can be used to load a survey sample. The model defines a sample for each survey type: (1) survey: A feedback form (2) assessment: A certification (3) live_session: A live presentation (4) custom: An empty survey)
survey,user_input,,survey.user_input,Survey User Input (Metadata for a set of one user's answers to a particular survey)
project,task,,project.task,Task (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,tax,,account.tax,Tax (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
hr,leave,,hr.leave,"Time Off (Time Off Requests Access specifications - a regular employee / user - can see all leaves; - cannot see name field of leaves belonging to other user as it may contain private information that we don't want to share to other people than HR people; - can modify only its own not validated leaves (except writing on state to bypass approval); - can discuss on its leave requests; - can reset only its own leaves; - cannot validate any leaves; - an Officer - can see all leaves; - can validate """"HR"""" single validation leaves from people if - he is the employee manager; - he is the department manager; - he is member of the same department; - target employee has no manager and no department manager; - can validate """"Manager"""" single validation leaves from people if - he is the employee manager; - he is the department manager; - target employee has no manager and no department manager; - can first validate """"Both"""" double validation leaves from people like """"HR"""" single validation, moving the leaves to validate1 state; - cannot validate its own leaves; - can reset only its own leaves; - can refuse all leaves; - a Manager - can do everything he wants On top of that multicompany rules apply based on company defined on the leave request leave type.)"
hr,leave,allocation,hr.leave.allocation,Time Off Allocation (Allocation Requests Access specifications: similar to leave requests)
stock,picking,,stock.picking,Transfer (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
mrp,unbuild,,mrp.unbuild,Unbuild Order (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
fleet,vehicle,,fleet.vehicle,Vehicle (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
fleet,vehicle,log.contract,fleet.vehicle.log.contract,Vehicle Contract (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
whatsapp,account,,whatsapp.account,WhatsApp Business Account (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
whatsapp,template,,whatsapp.template,WhatsApp Template (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
mrp,workcenter,,mrp.workcenter,Work Center (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
mrp,routing,workcenter,mrp.routing.workcenter,Work Center Usage (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
auth_totp,wizard,,auth_totp.wizard,"2-Factor Setup Wizard (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
report,pos_hr,multi_employee_sales_report,report.pos_hr.multi_employee_sales_report,"A collection of single session reports. One for each employee (The base model, which is implicitly inherited by all models.)"
account,edi,xml.ubl_a_nz,account.edi.xml.ubl_a_nz,"A-NZ BIS Billing 3.0 (The base model, which is implicitly inherited by all models.)"
res,users,apikeys.description,res.users.apikeys.description,"API Key Description (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
res,groups,,res.groups,Access Groups (Mixin that overrides the create and write methods to properly generate ir.model.data entries flagged with Studio for the corresponding resources. Doesn't create an ir.model.data if the record is part of a module being currently installed as the ir.model.data will be created automatically afterwards.)
account,cash,rounding,account.cash.rounding,"Account Cash Rounding (In some countries, we need to be able to make appear on an invoice a rounding line, appearing there only because the smallest coinage has been removed from the circulation. For example, in Switzerland invoices have to be rounded to 0.05 CHF because coins of 0.01 CHF and 0.02 CHF aren't used anymore. see https://en.wikipedia.org/wiki/Cash_rounding for more details.)"
account,chart,template,account.chart.template,"Account Chart Template (The base model, which is implicitly inherited by all models.)"
account,group,,account.group,Account Group (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,journal,group,account.journal.group,Account Journal Group (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,lock_exception,,account.lock_exception,Account Lock Exception (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,move,reversal,account.move.reversal,"Account Move Reversal (Account move reversal wizard, it cancel an account move by reversing it.)"
account,move,send,account.move.send,Account Move Send (Shared class between the two sending wizards. See 'account.move.send.batch.wizard' for multiple invoices sending wizard (async) and 'account.move.send.wizard' for single invoice sending wizard (sync).)
account,move,send.batch.wizard,account.move.send.batch.wizard,Account Move Send Batch Wizard (Wizard that handles the sending of multiple invoices.)
account,move,send.wizard,account.move.send.wizard,Account Move Send Wizard (Wizard that handles the sending a single invoice.)
account,report,annotation,account.report.annotation,Account Report Annotation (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,report,custom.handler,account.report.custom.handler,"Account Report Custom Handler (The base model, which is implicitly inherited by all models.)"
account,tax,report.handler,account.tax.report.handler,"Account Report Handler for Tax Reports (The base model, which is implicitly inherited by all models.)"
account,report,send,account.report.send,"Account Report Send (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
account,account,tag,account.account.tag,Account Tag (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,transfer,model,account.transfer.model,Account Transfer Model (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,transfer,model.line,account.transfer.model.line,Account Transfer Model Line (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,auto,reconcile.wizard,account.auto.reconcile.wizard,Account automatic reconciliation wizard (This wizard is used to automatically reconcile account.move.line. It is accessible trough Accounting > Accounting tab > Actions > Auto-reconcile menuitem.)
account,root,,account.root,Account codes first 2 digits (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,import,summary,account.import.summary,"Account import summary view (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
account,merge,wizard,account.merge.wizard,"Account merge wizard (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
account,merge,wizard.line,account.merge.wizard.line,"Account merge wizard line (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
mrp,account,wip.accounting.line,mrp.account.wip.accounting.line,"Account move line to be created when posting WIP account move (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
account,reconcile,wizard,account.reconcile.wizard,Account reconciliation wizard (This wizard is used to reconcile selected account.move.line.)
report,account,report_invoice_with_payments,report.account.report_invoice_with_payments,"Account report with payment lines (The base model, which is implicitly inherited by all models.)"
report,account,report_invoice,report.account.report_invoice,"Account report without payment lines (The base model, which is implicitly inherited by all models.)"
account,report,,account.report,Accounting Report (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,report,budget,account.report.budget,Accounting Report Budget (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,report,budget.item,account.report.budget.item,Accounting Report Budget Item (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,report,column,account.report.column,Accounting Report Column (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,report,expression,account.report.expression,Accounting Report Expression (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,report,external.value,account.report.external.value,Accounting Report External Value (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,report,line,account.report.line,Accounting Report Line (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,fiscal,position.account,account.fiscal.position.account,Accounts Mapping of Fiscal Position (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
hr,leave,accrual.plan,hr.leave.accrual.plan,Accrual Plan (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
hr,leave,accrual.level,hr.leave.accrual.level,Accrual Plan Level (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,accrued,orders.wizard,account.accrued.orders.wizard,"Accrued Orders Wizard (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
ir,actions,act_url,ir.actions.act_url,Action URL (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
ir,actions,act_window,ir.actions.act_window,Action Window (Mixin that overrides the create and write methods to properly generate ir.model.data entries flagged with Studio for the corresponding resources. Doesn't create an ir.model.data if the record is part of a module being currently installed as the ir.model.data will be created automatically afterwards.)
ir,actions,act_window_close,ir.actions.act_window_close,Action Window Close (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
ir,actions,act_window.view,ir.actions.act_window.view,Action Window View (Mixin that overrides the create and write methods to properly generate ir.model.data entries flagged with Studio for the corresponding resources. Doesn't create an ir.model.data if the record is part of a module being currently installed as the ir.model.data will be created automatically afterwards.)
ir,actions,actions,ir.actions.actions,Actions (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
mail,activity,,mail.activity,Activity (An actual activity to perform. Activities are linked to documents using res_id and res_model_id fields. Activities have a deadline that can be used in kanban view to display a status. Once done activities are unlinked and a message is posted. This message has a new activity_type_id field that indicates the activity linked to the message.)
mail,activity,mixin,mail.activity.mixin,"Activity Mixin (Mail Activity Mixin is a mixin class to use if you want to add activities management on a model. It works like the mail.thread mixin. It defines an activity_ids one2many field toward activities using res_id and res_model_id. Various related / computed fields are also added to have a global status of activities on documents. Activities come with a new JS widget for the form view. It is integrated in the Chatter widget although it is a separate widget. It displays activities linked to the current record and allow to schedule, edit and mark done activities. There is also a kanban widget defined. It defines a small widget to integrate in kanban vignettes. It allow to manage activities directly from the kanban view. Use widget """"kanban_activity"""" on activitiy_ids field in kanban view to use it. Some context keys allow to control the mixin behavior. Use those in some specific cases like import * ``mail_activity_automation_skip``: skip activities automation; it means no automated activities will be generated, updated or unlinked, allowing to save computation and avoid generating unwanted activities;)"
mail,activity,plan,mail.activity.plan,Activity Plan (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
mail,activity,type,mail.activity.type,"Activity Type (Activity Types are used to categorize activities. Each type is a different kind of activity e.g. call, mail, meeting. An activity can be generic i.e. available for all models using activities; or specific to a model in which case res_model field should be used.)"
